mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58353.35,1.45e-16,7.95e-19,1.5043333333333336e-16,3.745000000000001e-18
58354.32,1.47e-16,2.17e-18,1.4988333333333333e-16,3.762222222222223e-18
58355.33,1.48e-16,3.28e-18,1.4966666666666665e-16,3.752777777777778e-18
58355.47,1.58e-16,2.35e-18,1.4938333333333332e-16,3.836666666666666e-18
58356.33,1.55e-16,3.84e-18,1.4946666666666664e-16,3.5505555555555566e-18
58357.35,1.62e-16,3.86e-18,1.4891666666666664e-16,3.3544444444444456e-18
58358.42,1.43e-16,7.04e-18,1.488166666666667e-16,3.428333333333335e-18
58359.39,1.46e-16,4.02e-18,1.4866666666666666e-16,3.338888888888891e-18
58361.35,1.47e-16,2.49e-18,1.4853333333333332e-16,3.2494444444444477e-18
58362.38,1.5e-16,9.34e-19,1.4826666666666667e-16,3.257777777777782e-18
58363.44,1.44e-16,1.11e-18,1.479e-16,3.1650000000000047e-18
58364.33,1.43e-16,1.59e-18,1.478e-16,3.1966666666666712e-18
58364.34,1.48e-16,2.92e-19,1.477e-16,3.1650000000000047e-18
58365.37,1.47e-16,1.77e-18,1.476666666666667e-16,3.0422222222222275e-18
58366.39,1.4950000000000001e-16,1.6400000000000001e-18,1.4763333333333334e-16,2.941666666666672e-18
58367.35,1.425e-16,1.775e-18,1.4746666666666663e-16,2.983333333333339e-18
58367.37,1.53e-16,1.45e-18,1.475e-16,2.8361111111111146e-18
58368.33,1.445e-16,1.4749999999999999e-18,1.4723333333333333e-16,3.0233333333333373e-18
58369.39,1.465e-16,1.655e-18,1.4703333333333334e-16,3.1355555555555607e-18
58370.31,1.445e-16,1.5e-18,1.466e-16,2.9300000000000044e-18
58370.41,1.49e-16,1.28e-18,1.459e-16,3.2011111111111142e-18
58371.33,1.455e-16,1.605e-18,1.4573333333333333e-16,3.066666666666669e-18
58372.34,1.45e-16,1.63e-18,1.4553333333333334e-16,3.243333333333334e-18
58373.33,1.45e-16,3.69e-19,1.459e-16,3.442222222222224e-18
58374.35,1.45e-16,2.01e-18,1.4596666666666668e-16,3.4055555555555573e-18
58376.36,1.48e-16,1.43e-18,1.459e-16,3.3811111111111133e-18
58378.29,1.47e-16,1.69e-18,1.462e-16,3.3738888888888916e-18
58379.28,1.45e-16,1.36e-18,1.466e-16,3.3933333333333365e-18
58379.4,1.46e-16,1.46e-18,1.4693333333333333e-16,3.66166666666667e-18
58380.28,1.45e-16,1.46e-18,1.47e-16,3.6733333333333346e-18
58382.35,1.46e-16,1.07e-18,1.4701666666666665e-16,3.61277777777778e-18
58383.35,1.39e-16,1.84e-18,1.475e-16,3.674444444444447e-18
58385.28,1.42e-16,4.18e-18,1.4703333333333334e-16,3.8705555555555595e-18
58388.28,1.45e-16,4.29e-18,1.4744999999999999e-16,3.980000000000004e-18
58389.33,1.34e-16,2.74e-18,1.4766666666666667e-16,4.013888888888891e-18
58424.26,1.57e-16,3.55e-18,1.4795000000000002e-16,3.982222222222225e-18
58425.23,1.37e-16,4.49e-18,1.4811666666666665e-16,3.922777777777779e-18
58425.25,1.57e-16,8.11e-18,1.4836666666666666e-16,3.933333333333334e-18
58427.24,1.49e-16,8.34e-18,1.485666666666667e-16,4.000555555555556e-18
