mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58378.35,1.02e-16,3.11e-18,9.367666666666668e-17,6.08511111111111e-18
58379.37,9.91e-17,3.2e-18,9.387166666666667e-17,6.104555555555555e-18
58380.41,9.32e-17,2.74e-18,9.315166666666667e-17,5.948555555555554e-18
58382.41,9.56e-17,4.85e-18,9.310000000000001e-17,6.295666666666665e-18
58383.42,8.825e-17,8.87e-18,9.273e-17,6.3353333333333324e-18
58384.38,8.47e-17,1.19e-17,9.241333333333333e-17,6.46711111111111e-18
58384.47,9.83e-17,1.14e-17,9.1785e-17,6.5859999999999995e-18
58389.35,9.93e-17,9.63e-18,9.072833333333335e-17,6.846999999999999e-18
58390.38,9.94e-17,7e-18,9.025833333333332e-17,6.8245555555555555e-18
58397.34,9.77e-17,2.65e-18,8.931833333333334e-17,7.393333333333333e-18
58422.27,6.4e-17,4.72e-18,8.948166666666665e-17,7.696555555555554e-18
58425.2,7.13e-17,5.03e-18,8.910500000000001e-17,7.699555555555554e-18
58428.22,7.4e-17,4.31e-18,8.820500000000001e-17,8.033999999999997e-18
58431.23,8.46e-17,7.25e-18,8.752166666666667e-17,8.156777777777776e-18
58434.27,9.33e-17,7.15e-18,8.657166666666667e-17,8.635944444444444e-18
58436.22,9.43e-17,6.2e-18,8.596166666666666e-17,8.94011111111111e-18
58437.23,8.24e-17,7.23e-18,8.5285e-17,8.953888888888888e-18
58472.17,9.91e-17,1.2e-17,8.458166666666667e-17,9.218277777777775e-18
58482.15,8.81e-17,6.61e-18,8.428833333333334e-17,9.465999999999997e-18
58487.15,8.83e-17,3.89e-18,8.3515e-17,1.0051888888888888e-17
58491.16,7.9e-17,5.9250000000000004e-18,8.407333333333334e-17,1.0290111111111112e-17
58493.17,7.03e-17,5.91e-18,8.446333333333333e-17,1.0115333333333334e-17
58494.15,8.34e-17,4.94e-18,8.444000000000001e-17,9.977166666666666e-18
58494.16,6.68e-17,5.02e-18,8.459666666666666e-17,9.933e-18
58503.19,9.72e-17,1.74e-17,8.46e-17,9.695833333333332e-18
58507.2,8.61e-17,1.28e-17,8.481e-17,9.588444444444444e-18
58509.17,7.22e-17,1.23e-17,8.631e-17,9.077833333333335e-18
58510.15,7.89e-17,1.5e-17,8.773333333333332e-17,8.962111111111111e-18
58511.13,7e-17,7.22e-18,8.913333333333332e-17,9.010611111111112e-18
58667.44,7.8e-17,4.88e-18,8.978e-17,9.031777777777777e-18
