mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58372.3,7.68e-17,1.81e-18,7.817000000000001e-17,4.372333333333332e-18
58375.19,7.56e-17,2.28e-18,7.802000000000001e-17,4.361888888888887e-18
58378.25,7.58e-17,2.21e-18,7.817666666666667e-17,4.583333333333332e-18
58384.19,7.81e-17,7.62e-18,7.796166666666668e-17,4.646999999999998e-18
58423.13,7.72e-17,4.94e-18,7.834000000000001e-17,4.2885555555555545e-18
58432.08,6.96e-17,4.93e-18,7.798999999999999e-17,4.2851111111111105e-18
58435.07,7.12e-17,8.93e-18,7.779333333333333e-17,4.195777777777776e-18
58443.08,7.98e-17,3.84e-18,7.745666666666667e-17,4.187555555555553e-18
58443.1,8.75e-17,5.38e-18,7.770000000000001e-17,3.993666666666665e-18
58482.08,6.65e-17,1.13e-17,7.758000000000001e-17,4.035666666666666e-18
58482.09,7.475000000000001e-17,9.915e-18,7.751999999999999e-17,4.084999999999999e-18
58483.08,7.565000000000001e-17,7.005000000000001e-18,7.714e-17,3.938999999999998e-18
58483.09,7.909999999999999e-17,4.6e-18,7.722000000000001e-17,3.959333333333331e-18
58486.08,7.4e-17,7.725e-18,7.709e-17,3.914666666666665e-18
58486.09,7.57e-17,6.1500000000000004e-18,7.679666666666666e-17,3.898444444444442e-18
58487.08,8.599999999999999e-17,8.78e-18,7.679e-17,3.877222222222219e-18
58487.09,7.355000000000001e-17,5.69e-18,7.689666666666667e-17,3.896999999999997e-18
58488.08,7.795e-17,8.689999999999999e-18,7.686999999999999e-17,3.865111111111108e-18
58640.46,7.73e-17,1.82e-18,7.672333333333333e-17,3.9598333333333315e-18
58643.48,7.33e-17,3.23e-18,7.660666666666666e-17,4.0181111111111096e-18
58646.46,7.83e-17,1.44e-18,7.597666666666667e-17,3.4351666666666646e-18
58652.44,7.25e-17,6.73e-18,7.601666666666666e-17,3.354333333333332e-18
58657.42,7.81e-17,4.58e-18,7.615999999999999e-17,3.1793888888888878e-18
58660.46,7.15e-17,3.18e-18,7.615e-17,3.1835555555555542e-18
58663.42,7.75e-17,3.02e-18,7.568666666666667e-17,2.9707222222222206e-18
58675.46,7.37e-17,1.18e-18,7.597666666666665e-17,2.656999999999998e-18
58678.48,7.86e-17,1.98e-18,7.594500000000001e-17,2.6658888888888874e-18
58681.4,7.64e-17,7.47e-18,7.582333333333333e-17,2.771999999999999e-18
58685.39,7.29e-17,3.73e-18,7.577e-17,2.752722222222222e-18
58690.37,7.66e-17,2e-18,7.586666666666666e-17,2.677555555555555e-18
58693.36,7.88e-17,2.21e-18,7.578666666666666e-17,2.7381666666666663e-18
58696.36,7.5e-17,1.55e-18,7.642e-17,3.3910000000000003e-18
58699.37,7.37e-17,1.86e-18,7.668000000000001e-17,3.453055555555556e-18
58702.38,7.37e-17,2.9e-18,7.658833333333333e-17,3.4527777777777784e-18
58705.17,8.01e-17,6.24e-18,7.6755e-17,3.6287222222222224e-18
58715.32,7.08e-17,2.49e-18,7.6765e-17,3.613777777777779e-18
58718.33,7.55e-17,2.33e-18,7.6845e-17,3.684500000000001e-18
58724.37,7.95e-17,3.15e-18,7.703166666666668e-17,3.618666666666667e-18
58736.37,7.36e-17,7.73e-18,7.701499999999999e-17,3.579944444444444e-18
58744.36,7.52e-17,5.07e-18,7.686833333333332e-17,3.7471111111111116e-18
58750.25,7.38e-17,3.51e-18,7.683666666666667e-17,3.6943888888888885e-18
58754.21,7.2e-17,2.2e-18,7.667333333333333e-17,3.883666666666666e-18
58760.27,7.75e-17,3.19e-18,7.619833333333334e-17,4.2126666666666664e-18
58766.12,7.69e-17,9.98e-18,7.6065e-17,4.346722222222223e-18
58769.12,7.33e-17,6.59e-18,7.6215e-17,4.269555555555555e-18
58773.28,8.135e-17,5.62e-18,7.614166666666667e-17,4.170555555555555e-18
58776.19,7.52e-17,2.87e-18,7.627166666666667e-17,4.213777777777777e-18
58781.1,8.23e-17,4.57e-18,7.6445e-17,4.207388888888887e-18
58785.09,7.36e-17,3.44e-18,7.645833333333334e-17,4.221277777777777e-18
58789.21,8.07e-17,4.86e-18,7.6255e-17,4.21361111111111e-18
58794.11,7.81e-17,6.75e-18,7.655833333333333e-17,4.10011111111111e-18
58801.07,7.76e-17,3.37e-18,7.682166666666667e-17,4.259499999999999e-18
58846.08,6.71e-17,8.125e-18,7.6765e-17,4.196222222222222e-18
58846.09,7.655000000000001e-17,4.9449999999999995e-18,7.678166666666666e-17,4.188388888888888e-18
58852.08,6.88e-17,9.63e-18,7.6755e-17,4.240111111111112e-18
58852.09,6.435e-17,6.949999999999999e-18,7.6875e-17,4.1615000000000005e-18
58979.46,7.24e-17,7.2e-18,7.699833333333333e-17,4.1097777777777785e-18
58987.49,7.74e-17,2.88e-18,7.684500000000001e-17,4.276388888888889e-18
58996.46,7.63e-17,1.86e-18,7.677666666666667e-17,4.4003888888888884e-18
58999.46,7.69e-17,2.2e-18,7.72e-17,4.520388888888889e-18
59002.46,7.89e-17,3.54e-18,7.618333333333332e-17,3.726277777777777e-18
59014.48,7.89e-17,3.33e-18,7.611166666666667e-17,3.559611111111111e-18
59020.47,7.41e-17,1.48e-18,7.7405e-17,4.677055555555556e-18
59026.46,7.4e-17,1.24e-18,7.7115e-17,4.683388888888888e-18
59030.46,7.99e-17,2.44e-18,7.734e-17,4.604388888888889e-18
59036.37,8.34e-17,6.43e-18,7.727333333333333e-17,4.505833333333334e-18
59042.39,7.78e-17,2.76e-18,7.723e-17,4.560833333333334e-18
59045.36,7.41e-17,1.39e-18,7.728e-17,4.561388888888889e-18
59051.38,7.44e-17,1.65e-18,7.762e-17,4.3231666666666675e-18
59051.42,7.74e-17,1.45e-18,7.807833333333334e-17,4.660944444444445e-18
59054.36,7.57e-17,1.44e-18,7.882166666666667e-17,4.765722222222223e-18
59057.37,7.29e-17,1.33e-18,7.92e-17,4.4941666666666676e-18
59061.35,7.485e-17,3.15e-18,7.9405e-17,4.394666666666668e-18
59063.33,8.6e-17,5.88e-18,7.9485e-17,4.3898333333333346e-18
59067.31,7.45e-17,3.97e-18,7.947166666666666e-17,4.51938888888889e-18
59072.32,7.92e-17,2.06e-18,7.940833333333333e-17,4.6730000000000005e-18
59079.31,7.36e-17,1.66e-18,7.9645e-17,4.7359444444444455e-18
59079.37,8.035e-17,2.095e-18,7.986166666666666e-17,4.692277777777778e-18
59080.37,7.87e-17,2.655e-18,8.018833333333333e-17,4.758944444444445e-18
59082.27,7.68e-17,2.37e-18,7.999166666666667e-17,4.831277777777779e-18
59086.31,7.91e-17,2.22e-18,7.989500000000001e-17,4.685111111111112e-18
59087.28,7.73e-17,2.46e-18,7.981833333333333e-17,4.782388888888891e-18
59095.37,9.03e-17,1e-17,7.9935e-17,4.740333333333335e-18
59096.37,9.11e-17,6.493333333333333e-18,8.000166666666667e-17,4.724833333333335e-18
59097.27,7.57e-17,4.95e-18,8.007833333333334e-17,4.733722222222224e-18
59098.3,7.855e-17,3.7849999999999995e-18,8.016333333333334e-17,4.636166666666669e-18
59099.21,7.98e-17,2.44e-18,8.020999999999999e-17,4.556833333333335e-18
59099.34,7.590000000000001e-17,3.665e-18,8.026333333333333e-17,4.466500000000002e-18
59106.21,7.5e-17,4.2e-18,7.990833333333334e-17,4.350722222222224e-18
59114.28,7.879999999999999e-17,1.8400000000000002e-18,7.988499999999999e-17,4.339833333333335e-18
59123.27,8.61e-17,1.08e-17,7.979166666666666e-17,4.405833333333335e-18
59124.23,8.06e-17,6.91e-18,7.8605e-17,3.2623888888888907e-18
59125.25,8.38e-17,4.4e-18,7.8685e-17,3.1451666666666685e-18
59125.27,7.4e-17,4.32e-18,7.873e-17,3.2327222222222235e-18
59129.19,8.05e-17,2.35e-18,7.875833333333333e-17,3.218055555555557e-18
59129.2,7.55e-17,2.41e-18,7.898833333333334e-17,3.2829444444444456e-18
59130.21,7.76e-17,1.46e-18,7.951833333333333e-17,3.811722222222224e-18
59134.19,7.64e-17,2.06e-18,7.9155e-17,4.127833333333334e-18
59135.27,7.97e-17,2.56e-18,7.8755e-17,3.783166666666668e-18
59136.17,7.825e-17,2.25e-18,7.8055e-17,3.695611111111112e-18
59137.18,7.43e-17,1.96e-18,7.821999999999999e-17,3.6218333333333345e-18
59138.12,7.645e-17,2.09e-18,7.8295e-17,3.6388333333333345e-18
59140.12,7.535000000000001e-17,1.745e-18,7.839166666666667e-17,3.759722222222224e-18
59141.15,7.38e-17,1.88e-18,7.844500000000001e-17,3.6493333333333346e-18
