mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58378.44,1.44e-16,2.95e-18,1.4398333333333332e-16,5.441666666666668e-18
58378.45,1.49e-16,3.42e-18,1.4398333333333332e-16,5.444444444444446e-18
58379.46,1.44e-16,2.96e-18,1.439833333333333e-16,5.418333333333335e-18
58382.44,1.5250000000000001e-16,2.935e-18,1.4398333333333332e-16,5.430555555555558e-18
58383.44,1.46e-16,7.82e-18,1.4398333333333332e-16,5.459444444444447e-18
58384.36,1.36e-16,9.11e-18,1.4381666666666664e-16,5.3794444444444475e-18
58384.48,1.32e-16,9.8e-18,1.4405e-16,5.599444444444446e-18
58385.44,1.42e-16,1.33e-17,1.4386666666666666e-16,5.819444444444446e-18
58385.45,1.38e-16,1.36e-17,1.4413333333333334e-16,6.009444444444446e-18
58386.48,1.23e-16,1.71e-17,1.4421666666666666e-16,5.997222222222223e-18
58390.38,1.5e-16,7.92e-18,1.4435000000000002e-16,6.022777777777779e-18
58390.4,1.34e-16,9.54e-18,1.4495e-16,6.468333333333333e-18
58397.38,1.41e-16,3.15e-18,1.4468333333333334e-16,6.7272222222222225e-18
58425.35,1.55e-16,4.07e-18,1.4465e-16,6.959444444444445e-18
58427.33,1.53e-16,9.94e-18,1.448e-16,6.951666666666668e-18
58428.31,1.51e-16,3.64e-18,1.4504999999999999e-16,6.799444444444447e-18
58430.31,1.49e-16,1.84e-18,1.4558333333333334e-16,7.305555555555559e-18
58431.24,1.45e-16,8.5e-18,1.4546666666666668e-16,7.207222222222226e-18
58434.28,1.42e-16,5.51e-18,1.4583333333333334e-16,7.636666666666668e-18
58436.24,1.44e-16,6.59e-18,1.4548333333333332e-16,7.388333333333336e-18
58437.25,1.53e-16,7.98e-18,1.4558333333333334e-16,7.623333333333335e-18
58462.26,1.35e-16,2.1e-17,1.4624999999999999e-16,7.937222222222225e-18
58464.24,1.56e-16,4.92e-18,1.4688333333333333e-16,7.988888888888889e-18
58469.17,1.535e-16,1.0050000000000001e-17,1.4711666666666666e-16,8.332222222222224e-18
58474.12,1.495e-16,1.445e-17,1.4725e-16,8.356666666666668e-18
58475.11,1.68e-16,1.22e-17,1.4785e-16,7.894444444444445e-18
58481.27,1.38e-16,6.43e-18,1.4821666666666667e-16,8.660555555555558e-18
58483.16,1.42e-16,3.77e-18,1.4898333333333333e-16,9.188888888888892e-18
58487.17,1.4950000000000001e-16,3.94e-18,1.4768333333333332e-16,9.986111111111114e-18
58491.16,1.365e-16,4.91e-18,1.4625e-16,1.0207777777777779e-17
58493.19,1.6e-16,5.16e-18,1.4479999999999998e-16,1.0561666666666671e-17
58494.17,1.455e-16,4.725e-18,1.4343333333333332e-16,1.0964444444444445e-17
58495.16,1.55e-16,6.45e-18,1.421e-16,1.1452777777777781e-17
58503.17,1.42e-16,1.44e-17,1.409333333333333e-16,1.1984444444444446e-17
58505.17,1.49e-16,1.71e-17,1.3993333333333334e-16,1.2295000000000003e-17
58507.14,1.56e-16,5.7e-18,1.3876666666666666e-16,1.2770000000000004e-17
58509.19,1.51e-16,9.15e-18,1.374e-16,1.2927222222222228e-17
58510.15,1.49e-16,8.275e-18,1.3683333333333335e-16,1.2727777777777782e-17
58511.16,1.42e-16,8.69e-18,1.3513333333333334e-16,1.3015000000000005e-17
58514.15,1.41e-16,4.16e-18,1.3365e-16,1.324444444444445e-17
58534.15,1.61e-16,2.59e-17,1.3236666666666664e-16,1.353944444444445e-17
58539.13,1.57e-16,7.13e-18,1.302e-16,1.3498888888888894e-17
58693.45,1.02e-16,3.79e-18,1.296e-16,1.3198333333333338e-17
58694.48,1.12e-16,3.23e-18,1.29e-16,1.3073888888888892e-17
58695.44,1.095e-16,4.075e-18,1.2831666666666666e-16,1.3279444444444449e-17
58696.45,1.1e-16,4.06e-18,1.2803333333333333e-16,1.3163888888888893e-17
58698.46,1.09e-16,4.19e-18,1.2706666666666666e-16,1.294277777777778e-17
58701.46,1.1e-16,3.37e-18,1.2641666666666667e-16,1.2930555555555556e-17
58704.46,1.12e-16,4.64e-18,1.2515e-16,1.2757222222222224e-17
58707.44,1.09e-16,3.49e-18,1.2473333333333336e-16,1.2850555555555556e-17
58708.48,1.12e-16,3.52e-18,1.2413333333333336e-16,1.2710555555555556e-17
58714.5,1.18e-16,1.07e-17,1.2326666666666665e-16,1.2236111111111111e-17
58718.45,1.05e-16,9.38e-18,1.2273333333333335e-16,1.2028333333333333e-17
