mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58277.47	18.28	0.02	2.37e-16	5.25e-18
58280.45	18.28	0.01	2.38e-16	2.89e-18
58283.45	18.26	0.01	2.43e-16	2.48e-18
58286.45	18.28	0.01	2.38e-16	2.53e-18
58289.43	18.28	0.01	2.38e-16	1.97e-18
58292.44	18.24	0.02	2.46e-16	3.95e-18
58295.45	18.28	0.03	2.38e-16	7.61e-18
58298.46	18.20	0.05	2.57e-16	1.11e-17
58301.47	18.24	0.03	2.46e-16	6.06e-18
58304.44	18.27	0.02	2.40e-16	3.78e-18
58307.46	18.31	0.02	2.30e-16	3.56e-18
58313.46	18.34	0.02	2.24e-16	4.22e-18
58314.49	18.30	0.01	2.34e-16	1.11e-18
58314.49	18.31	0.01	2.31e-16	2.71e-18
58314.49	12.30	nan	5.86e-14	nan
58314.49	18.29	0.01	2.36e-16	2.55e-18
58314.49	12.30	nan	5.88e-14	nan
58314.49	12.31	nan	5.83e-14	nan
58314.49	18.30	0.02	2.33e-16	3.83e-18
58314.49	12.30	nan	5.89e-14	nan
58314.49	12.29	nan	5.91e-14	nan
58314.49	12.30	nan	5.85e-14	nan
58316.42	18.74	nan	1.56e-16	nan
58319.44	18.29	0.02	2.35e-16	4.22e-18
58325.44	18.35	0.04	2.24e-16	9.07e-18
58328.48	18.26	0.19	2.41e-16	4.24e-17
58331.48	18.29	0.04	2.36e-16	8.52e-18
58334.47	18.21	0.02	2.54e-16	4.67e-18
58337.40	12.45	nan	5.12e-14	nan
58337.40	12.44	nan	5.14e-14	nan
58337.40	12.44	nan	5.16e-14	nan
58337.40	18.32	0.01	2.29e-16	2.04e-18
58337.43	12.46	nan	5.08e-14	nan
58337.43	12.44	nan	5.14e-14	nan
58338.42	12.42	nan	5.23e-14	nan
58338.42	12.42	nan	5.27e-14	nan
58338.42	12.41	nan	5.29e-14	nan
58340.48	18.32	0.01	2.29e-16	3.15e-18
58343.40	18.35	0.02	2.22e-16	4.03e-18
58344.38	12.38	nan	5.45e-14	nan
58344.38	12.39	nan	5.38e-14	nan
58344.38	12.39	nan	5.41e-14	nan
58346.36	18.36	0.02	2.20e-16	3.66e-18
58347.51	12.44	nan	5.17e-14	nan
58347.51	12.44	nan	5.15e-14	nan
58347.51	18.34	0.03	2.25e-16	6.26e-18
58347.51	12.42	nan	5.23e-14	nan
58348.51	18.35	0.01	2.24e-16	1.03e-18
58348.51	12.45	nan	5.12e-14	nan
58348.51	12.45	nan	5.10e-14	nan
58348.51	12.45	nan	5.09e-14	nan
58349.41	18.33	0.02	2.28e-16	4.13e-18
58352.41	18.34	0.02	2.25e-16	4.17e-18
58360.41	18.39	0.06	2.16e-16	1.22e-17
58360.41	12.52	nan	4.81e-14	nan
58360.41	12.51	nan	4.83e-14	nan
58360.41	12.52	nan	4.81e-14	nan
58361.41	12.53	nan	4.76e-14	nan
58361.41	12.51	nan	4.83e-14	nan
58361.41	12.52	nan	4.79e-14	nan
58361.41	18.40	0.05	2.14e-16	8.98e-18
58361.44	18.35	0.04	2.24e-16	7.54e-18
58363.36	18.32	0.02	2.30e-16	5.02e-18
58363.36	12.46	nan	5.07e-14	nan
58364.28	18.46	0.02	2.02e-16	3.21e-18
58364.45	12.45	nan	5.12e-14	nan
58364.45	12.43	nan	5.20e-14	nan
58364.45	18.34	0.01	2.25e-16	2.13e-18
58364.45	12.44	nan	5.15e-14	nan
58365.42	12.50	nan	4.88e-14	nan
58365.42	18.38	0.02	2.17e-16	3.02e-18
58365.42	12.49	nan	4.92e-14	nan
58365.42	12.50	nan	4.89e-14	nan
58366.46	12.51	nan	4.83e-14	nan
58366.46	18.35	0.01	2.24e-16	2.25e-18
58366.46	12.50	nan	4.89e-14	nan
58366.46	12.51	nan	4.86e-14	nan
58367.42	18.35	0.02	2.24e-16	4.51e-18
58367.46	18.32	0.02	2.30e-16	4.39e-18
58368.39	12.49	nan	4.90e-14	nan
58368.39	18.36	0.02	2.21e-16	3.43e-18
58368.39	12.51	nan	4.85e-14	nan
58368.39	12.50	nan	4.88e-14	nan
58368.39	18.36	0.02	2.20e-16	4.48e-18
58369.33	12.51	nan	4.84e-14	nan
58369.33	12.49	nan	4.94e-14	nan
58369.33	18.40	0.02	2.14e-16	3.30e-18
58369.33	12.50	nan	4.90e-14	nan
58370.34	18.34	0.02	2.26e-16	4.35e-18
58370.35	12.49	nan	4.91e-14	nan
58370.35	12.51	nan	4.86e-14	nan
58370.35	12.50	nan	4.89e-14	nan
58370.35	18.35	0.02	2.23e-16	3.38e-18
58370.35	18.33	0.02	2.27e-16	4.22e-18
58372.43	18.38	0.02	2.16e-16	4.21e-18
58372.43	12.51	nan	4.82e-14	nan
58372.43	12.50	nan	4.86e-14	nan
58372.43	18.39	0.02	2.15e-16	3.87e-18
58372.43	12.50	nan	4.86e-14	nan
58373.40	18.38	0.02	2.18e-16	4.44e-18
58376.32	18.32	0.02	2.29e-16	4.59e-18
58378.33	18.36	0.02	2.21e-16	4.19e-18
58378.33	12.51	nan	4.81e-14	nan
58378.33	18.38	0.02	2.17e-16	3.47e-18
58378.33	12.51	nan	4.83e-14	nan
58378.33	12.50	nan	4.86e-14	nan
58379.36	18.35	0.02	2.23e-16	4.37e-18
58382.27	12.48	nan	4.96e-14	nan
58382.27	12.46	nan	5.04e-14	nan
58382.27	18.40	0.03	2.13e-16	5.22e-18
58382.43	18.36	0.02	2.21e-16	4.32e-18
58383.29	18.31	0.03	2.32e-16	7.23e-18
58383.29	12.46	nan	5.07e-14	nan
58383.29	12.45	nan	5.10e-14	nan
58384.31	12.47	nan	5.04e-14	nan
58384.31	12.46	nan	5.05e-14	nan
58384.31	18.33	0.04	2.27e-16	8.28e-18
58385.38	18.34	0.06	2.26e-16	1.18e-17
58388.34	12.50	nan	4.87e-14	nan
58388.34	12.51	nan	4.84e-14	nan
58388.34	18.39	0.05	2.15e-16	9.53e-18
58388.37	18.23	0.04	2.49e-16	9.08e-18
58389.38	12.50	nan	4.89e-14	nan
58389.38	12.48	nan	4.97e-14	nan
58389.38	18.37	0.03	2.19e-16	6.10e-18
58390.34	18.37	0.03	2.19e-16	5.76e-18
58390.34	12.50	nan	4.88e-14	nan
58390.34	12.50	nan	4.87e-14	nan
58397.36	18.37	0.02	2.18e-16	4.46e-18
58424.20	11.36	nan	1.40e-13	nan
58424.20	11.36	nan	1.39e-13	nan
58424.20	18.33	0.06	2.28e-16	1.28e-17
58424.20	11.43	nan	1.31e-13	nan
58425.20	18.30	0.01	2.35e-16	1.47e-18
58427.20	10.80	nan	2.34e-13	nan
58427.20	10.80	nan	2.33e-13	nan
58427.20	18.18	0.11	2.61e-16	2.53e-17
58427.20	10.80	nan	2.34e-13	nan
58428.21	18.29	0.01	2.36e-16	3.07e-18
58429.25	18.27	0.01	2.40e-16	3.28e-18
58429.25	12.50	nan	4.89e-14	nan
58429.25	12.49	nan	4.93e-14	nan
58429.25	12.48	nan	4.98e-14	nan
58430.26	18.28	0.02	2.38e-16	3.50e-18
58430.26	12.55	nan	4.68e-14	nan
58430.26	12.53	nan	4.73e-14	nan
58430.26	12.54	nan	4.71e-14	nan
58431.21	18.28	0.02	2.37e-16	3.78e-18
58432.25	12.50	nan	4.89e-14	nan
58432.25	18.33	0.01	2.28e-16	2.70e-18
58432.25	12.49	nan	4.92e-14	nan
58432.25	12.49	nan	4.92e-14	nan
58434.26	18.29	0.01	2.36e-16	3.24e-18
58435.20	12.49	nan	4.91e-14	nan
58435.20	12.52	nan	4.80e-14	nan
58435.20	18.29	0.01	2.36e-16	2.82e-18
58435.20	12.50	nan	4.89e-14	nan
58436.18	18.32	0.03	2.30e-16	6.53e-18
58436.18	12.51	nan	4.85e-14	nan
58436.18	12.50	nan	4.86e-14	nan
58436.18	12.48	nan	4.95e-14	nan
58437.24	18.25	0.01	2.44e-16	1.87e-18
58441.26	18.26	0.04	2.43e-16	9.04e-18
58443.20	18.34	0.06	2.25e-16	1.21e-17
58443.20	12.54	nan	4.71e-14	nan
58443.20	12.54	nan	4.71e-14	nan
58443.20	12.59	nan	4.48e-14	nan
58468.30	18.29	0.04	2.36e-16	7.76e-18
58471.10	18.29	0.07	2.35e-16	1.55e-17
58482.15	18.26	0.01	2.42e-16	1.56e-18
58483.12	12.50	nan	4.90e-14	nan
58483.12	12.50	nan	4.88e-14	nan
58483.12	12.49	nan	4.92e-14	nan
58483.12	18.30	0.01	2.34e-16	2.00e-18
58483.12	18.27	0.00	2.41e-16	4.86e-19
58493.16	18.24	0.02	2.48e-16	3.57e-18
58503.16	18.26	0.05	2.43e-16	1.17e-17
58509.15	18.27	0.03	2.39e-16	7.24e-18
58514.15	18.23	0.01	2.49e-16	1.95e-18
58642.42	18.29	0.01	2.35e-16	1.48e-18
58646.45	18.23	0.02	2.50e-16	5.18e-18
58649.47	18.30	0.03	2.35e-16	6.05e-18
58655.48	18.13	0.05	2.73e-16	1.18e-17
58658.47	18.26	0.02	2.42e-16	5.55e-18
58661.47	18.26	0.01	2.43e-16	2.60e-18
58674.45	18.26	0.02	2.42e-16	3.67e-18
58677.47	18.25	0.02	2.45e-16	3.91e-18
58680.48	18.32	0.03	2.30e-16	7.34e-18
58683.48	18.36	0.03	2.21e-16	5.73e-18
58686.48	18.30	0.03	2.33e-16	5.84e-18
58688.48	18.33	0.03	2.27e-16	5.39e-18
58688.48	12.41	nan	5.30e-14	nan
58688.48	12.39	nan	5.40e-14	nan
58688.48	12.41	nan	5.30e-14	nan
58688.49	12.39	nan	5.40e-14	nan
58688.49	18.27	0.02	2.40e-16	4.72e-18
58688.49	12.39	nan	5.39e-14	nan
58688.49	12.39	nan	5.40e-14	nan
58688.49	18.26	0.01	2.42e-16	3.24e-18
58690.47	18.35	0.02	2.23e-16	3.70e-18
58691.49	18.35	0.01	2.23e-16	2.93e-18
58691.49	12.39	nan	5.41e-14	nan
58691.49	12.39	nan	5.42e-14	nan
58691.49	18.33	0.00	2.28e-16	8.37e-19
58691.49	12.39	nan	5.38e-14	nan
58691.49	12.39	nan	5.40e-14	nan
58691.49	18.34	0.00	2.24e-16	1.03e-18
58691.49	12.40	nan	5.35e-14	nan
58691.49	12.39	nan	5.38e-14	nan
58693.43	18.31	0.02	2.31e-16	4.69e-18
58695.41	18.32	0.02	2.28e-16	4.12e-18
58695.41	12.40	nan	5.35e-14	nan
58695.41	18.30	0.02	2.34e-16	3.24e-18
58695.41	12.41	nan	5.32e-14	nan
58695.41	12.41	nan	5.30e-14	nan
58695.41	12.41	nan	5.33e-14	nan
58695.41	12.40	nan	5.36e-14	nan
58695.41	12.39	nan	5.38e-14	nan
58695.41	18.32	0.02	2.30e-16	3.29e-18
58696.43	18.29	0.02	2.35e-16	4.55e-18
58699.45	18.34	0.02	2.25e-16	4.18e-18
58700.49	12.41	nan	5.31e-14	nan
58700.49	18.37	0.01	2.20e-16	2.66e-18
58700.49	12.39	nan	5.41e-14	nan
58700.49	12.51	nan	4.83e-14	nan
58700.49	12.39	nan	5.39e-14	nan
58700.49	12.40	nan	5.34e-14	nan
58700.49	18.35	0.01	2.23e-16	1.08e-18
58700.49	12.40	nan	5.37e-14	nan
58700.49	18.35	0.02	2.22e-16	3.92e-18
58706.46	18.35	0.02	2.22e-16	4.43e-18
58709.48	18.34	0.02	2.24e-16	4.62e-18
58713.45	12.41	nan	5.29e-14	nan
58713.45	18.35	0.05	2.24e-16	9.59e-18
58713.45	12.43	nan	5.21e-14	nan
58713.45	12.41	nan	5.28e-14	nan
58713.45	12.42	nan	5.26e-14	nan
58713.45	12.42	nan	5.24e-14	nan
58713.45	18.34	0.05	2.24e-16	9.84e-18
58713.45	12.42	nan	5.26e-14	nan
58715.51	18.40	0.05	2.13e-16	9.69e-18
58718.41	18.36	0.00	2.21e-16	1.30e-19
58718.46	12.41	nan	5.33e-14	nan
58718.46	12.42	nan	5.27e-14	nan
58718.46	12.41	nan	5.31e-14	nan
58718.46	18.36	0.02	2.22e-16	3.21e-18
58718.46	12.42	nan	5.27e-14	nan
