mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58302.46	18.20	0.01	9.31e-17	8.88e-19
58312.39	18.10	0.02	1.02e-16	1.63e-18
58319.49	18.22	0.03	9.14e-17	2.13e-18
58325.38	18.07	0.03	1.05e-16	3.28e-18
58329.39	18.13	0.04	9.94e-17	3.52e-18
58333.42	18.28	0.03	8.67e-17	2.23e-18
58337.48	18.19	0.02	9.41e-17	1.63e-18
58342.39	18.21	0.01	9.27e-17	6.05e-19
58347.39	18.22	0.02	9.12e-17	1.77e-18
58351.35	18.17	0.02	9.54e-17	1.41e-18
58361.36	18.29	0.03	8.60e-17	2.63e-18
58365.32	18.24	0.00	9.01e-17	1.71e-19
58369.35	18.22	0.02	9.17e-17	1.31e-18
58369.35	18.16	0.02	9.71e-17	1.45e-18
58373.35	18.21	0.02	9.24e-17	1.53e-18
58377.32	18.23	0.02	9.05e-17	1.49e-18
58382.29	18.22	0.01	9.19e-17	7.45e-19
58387.32	18.20	0.04	9.34e-17	3.77e-18
58387.40	18.03	0.04	1.09e-16	4.27e-18
58397.29	18.21	0.01	9.25e-17	1.03e-18
58422.31	18.16	0.03	9.70e-17	2.99e-18
58426.28	18.13	0.02	9.90e-17	1.61e-18
58427.28	18.21	0.08	9.27e-17	7.01e-18
58430.24	18.15	0.01	9.75e-17	1.26e-18
58431.27	18.19	0.05	9.36e-17	4.16e-18
58434.24	18.17	0.03	9.58e-17	2.67e-18
58668.47	18.16	0.01	9.70e-17	8.97e-19
58672.45	18.13	0.00	9.90e-17	1.39e-19
58676.45	18.22	0.00	9.14e-17	2.98e-19
58682.44	18.16	0.02	9.71e-17	1.38e-18
58686.45	18.26	0.03	8.79e-17	2.25e-18
58691.34	18.15	0.02	9.74e-17	1.70e-18
58697.44	18.22	0.03	9.12e-17	2.13e-18
58701.42	18.22	0.02	9.11e-17	1.83e-18
58701.43	18.20	0.02	9.36e-17	1.74e-18
58705.43	18.23	0.02	9.09e-17	1.93e-18
58709.43	18.30	0.02	8.53e-17	1.29e-18
58713.42	18.30	0.05	8.54e-17	4.05e-18
58717.37	18.20	0.02	9.29e-17	1.83e-18
58718.40	18.16	0.01	9.65e-17	7.80e-19
58722.39	18.22	0.03	9.12e-17	2.19e-18
58733.42	18.24	0.02	9.01e-17	1.62e-18
58738.41	18.22	0.03	9.15e-17	2.36e-18
58743.46	18.31	0.09	8.39e-17	6.72e-18
58747.35	18.19	0.02	9.38e-17	1.60e-18
58751.34	18.24	0.01	9.02e-17	1.09e-18
58757.34	18.20	0.01	9.28e-17	1.23e-18
58761.32	18.20	0.02	9.29e-17	1.50e-18
58765.30	18.17	0.01	9.59e-17	1.05e-18
58769.30	18.09	0.08	1.03e-16	7.26e-18
59173.26	18.51	0.03	6.98e-17	1.82e-18
59180.27	18.30	0.11	8.48e-17	8.59e-18
59184.32	18.54	0.06	6.83e-17	3.70e-18
59187.26	18.33	0.05	8.25e-17	3.88e-18
59190.23	18.44	nan	7.50e-17	nan
59200.13	18.65	0.07	6.15e-17	4.06e-18
59203.14	18.56	0.02	6.72e-17	1.45e-18
59206.14	18.74	nan	5.66e-17	nan
59211.18	18.55	0.04	6.76e-17	2.47e-18
59217.20	18.37	nan	7.98e-17	nan
59220.17	18.59	0.03	6.52e-17	1.56e-18
59223.22	18.65	0.04	6.16e-17	2.29e-18
59226.13	18.45	0.04	7.44e-17	2.63e-18
59229.15	18.50	0.06	7.10e-17	3.68e-18
59253.13	18.53	0.02	6.85e-17	1.27e-18
59379.44	18.65	0.03	6.18e-17	1.99e-18
59385.45	18.61	0.02	6.38e-17	9.66e-19
59394.41	18.63	0.08	6.25e-17	4.34e-18
59399.45	18.49	0.10	7.14e-17	6.53e-18
59403.46	18.73	0.03	5.71e-17	1.62e-18
59407.41	18.86	0.02	5.09e-17	7.24e-19
59411.43	18.86	0.03	5.05e-17	1.56e-18
59417.41	18.77	0.11	5.51e-17	5.47e-18
59423.47	18.89	nan	4.93e-17	nan
59427.41	18.91	0.03	4.86e-17	1.42e-18
59430.45	18.92	0.04	4.80e-17	1.93e-18
59434.41	18.85	0.05	5.12e-17	2.27e-18
59438.43	18.97	0.05	4.57e-17	2.05e-18
59443.43	19.04	0.04	4.31e-17	1.60e-18
59446.33	18.85	0.06	5.14e-17	3.04e-18
59449.31	18.76	0.07	5.56e-17	3.40e-18
59453.40	18.99	0.01	4.49e-17	5.60e-19
59458.32	18.96	0.03	4.61e-17	1.38e-18
59461.34	18.94	0.04	4.73e-17	1.66e-18
59464.36	18.90	0.04	4.91e-17	1.89e-18
59467.33	18.95	0.05	4.69e-17	1.94e-18
59470.35	18.94	0.04	4.73e-17	1.79e-18
59473.41	18.92	0.01	4.79e-17	3.54e-19
59476.36	19.03	0.05	4.32e-17	2.12e-18
59479.32	18.88	0.11	5.00e-17	5.23e-18
59483.32	19.01	0.06	4.43e-17	2.65e-18
59486.33	18.97	0.14	4.60e-17	5.90e-18
59489.30	18.85	0.03	5.11e-17	1.58e-18
59496.35	18.83	0.01	5.21e-17	7.09e-19
59502.30	18.96	0.04	4.63e-17	1.88e-18
59505.32	18.94	0.09	4.73e-17	3.88e-18
59509.30	18.99	0.07	4.49e-17	2.84e-18
59512.27	19.03	0.04	4.34e-17	1.51e-18
59517.30	19.00	0.04	4.45e-17	1.77e-18
59520.34	19.07	0.04	4.20e-17	1.50e-18
59523.23	18.98	0.04	4.55e-17	1.63e-18
59526.29	19.01	0.05	4.41e-17	1.92e-18
59529.29	18.84	0.05	5.15e-17	2.37e-18
59532.15	18.97	0.02	4.60e-17	9.03e-19
59538.14	18.98	0.05	4.53e-17	2.08e-18
59542.24	18.86	0.00	5.10e-17	8.53e-20
59550.20	19.03	0.04	4.32e-17	1.74e-18
