mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58294.48	18.71	0.06	8.87e-17	4.64e-18
58294.48	12.34	nan	3.13e-14	nan
58297.43	12.26	nan	3.39e-14	nan
58298.45	18.68	0.09	9.14e-17	7.16e-18
58300.42	12.20	nan	3.56e-14	nan
58301.44	18.77	0.07	8.39e-17	5.33e-18
58303.47	12.31	nan	3.21e-14	nan
58310.45	12.18	nan	3.62e-14	nan
58312.45	18.66	0.02	9.30e-17	1.73e-18
58313.43	12.18	nan	3.63e-14	nan
58316.46	12.25	nan	3.41e-14	nan
58319.46	12.37	nan	3.05e-14	nan
58321.48	18.65	0.02	9.37e-17	1.74e-18
58322.49	12.39	nan	2.99e-14	nan
58324.46	18.66	0.02	9.27e-17	1.95e-18
58325.48	12.33	nan	3.15e-14	nan
58327.42	18.70	0.18	8.94e-17	1.45e-17
58328.43	11.40	nan	7.48e-14	nan
58330.43	18.59	0.06	9.93e-17	5.77e-18
58331.42	12.35	nan	3.11e-14	nan
58335.47	12.37	nan	3.06e-14	nan
58335.47	18.62	0.03	9.65e-17	2.44e-18
58335.48	18.58	0.03	1.01e-16	2.67e-18
58336.45	12.40	nan	2.98e-14	nan
58336.45	12.39	nan	2.99e-14	nan
58336.45	12.52	nan	2.66e-14	nan
58336.45	18.60	0.02	9.87e-17	1.44e-18
58336.45	12.53	nan	2.63e-14	nan
58336.45	18.60	0.01	9.87e-17	1.21e-18
58336.45	18.59	0.02	9.94e-17	1.70e-18
58336.45	18.61	0.02	9.73e-17	1.75e-18
58338.48	12.36	nan	3.08e-14	nan
58338.48	18.54	0.02	1.04e-16	1.55e-18
58338.50	12.50	nan	2.70e-14	nan
58338.50	18.64	0.01	9.44e-17	1.02e-18
58342.48	12.30	nan	3.25e-14	nan
58342.48	18.53	0.01	1.05e-16	1.41e-18
58344.46	12.35	nan	3.11e-14	nan
58344.46	12.49	nan	2.74e-14	nan
58344.46	18.59	0.01	9.96e-17	9.65e-19
58345.46	18.54	0.02	1.04e-16	1.61e-18
58345.48	12.34	nan	3.15e-14	nan
58345.48	18.60	0.01	9.86e-17	1.28e-18
58346.43	12.31	nan	3.23e-14	nan
58346.46	18.58	0.01	1.00e-16	1.03e-18
58347.43	12.32	nan	3.21e-14	nan
58347.44	18.56	0.01	1.02e-16	9.82e-19
58347.44	12.49	nan	2.74e-14	nan
58347.44	18.56	0.01	1.02e-16	1.01e-18
58347.44	18.55	0.01	1.03e-16	7.71e-19
58348.43	12.34	nan	3.14e-14	nan
58348.44	12.34	nan	3.14e-14	nan
58348.44	18.56	0.00	1.02e-16	2.46e-19
58348.44	18.58	0.01	1.01e-16	5.12e-19
58349.48	12.38	nan	3.03e-14	nan
58350.41	12.38	nan	3.02e-14	nan
58350.41	18.57	0.01	1.01e-16	4.79e-19
58351.39	12.36	nan	3.08e-14	nan
58351.50	18.56	0.01	1.02e-16	6.22e-19
58353.35	12.49	nan	2.74e-14	nan
58353.35	18.51	0.03	1.07e-16	2.49e-18
58353.42	18.48	0.02	1.10e-16	2.06e-18
58353.44	12.40	nan	2.98e-14	nan
58353.48	12.40	nan	2.97e-14	nan
58353.49	18.50	0.01	1.08e-16	6.05e-19
58354.37	18.55	0.04	1.03e-16	3.33e-18
58354.37	12.52	nan	2.65e-14	nan
58354.46	12.39	nan	3.00e-14	nan
58354.47	18.46	0.02	1.12e-16	2.19e-18
58354.47	12.41	nan	2.94e-14	nan
58354.47	18.55	0.02	1.03e-16	1.93e-18
58354.49	12.39	nan	3.00e-14	nan
58354.49	18.50	0.01	1.08e-16	6.27e-19
58354.49	12.40	nan	2.98e-14	nan
58354.49	18.52	0.01	1.06e-16	7.25e-19
58355.35	12.50	nan	2.71e-14	nan
