mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58312.38	18.27	0.02	8.72e-17	1.85e-18
58319.48	18.15	0.01	9.76e-17	8.64e-19
58333.43	18.15	0.03	9.78e-17	2.45e-18
58337.46	18.17	0.01	9.59e-17	6.50e-19
58342.38	18.26	0.02	8.79e-17	1.58e-18
58347.38	18.18	0.00	9.46e-17	2.18e-19
58351.34	18.20	0.01	9.29e-17	1.13e-18
58361.36	18.20	0.03	9.30e-17	2.36e-18
58365.32	18.28	0.03	8.69e-17	2.09e-18
58369.34	18.27	0.01	8.74e-17	1.14e-18
58373.34	17.37	0.01	2.01e-16	2.25e-18
58377.32	18.06	0.02	1.06e-16	1.80e-18
58382.28	18.14	0.03	9.84e-17	2.52e-18
58387.40	17.69	0.05	1.50e-16	7.43e-18
58400.23	18.29	0.02	8.54e-17	1.44e-18
58426.28	18.25	0.05	8.93e-17	4.42e-18
58430.21	18.30	0.02	8.52e-17	1.61e-18
58434.23	18.24	0.05	8.97e-17	4.13e-18
58668.47	17.96	0.01	1.17e-16	1.53e-18
58672.45	17.55	0.01	1.69e-16	1.73e-18
58691.34	17.50	0.01	1.77e-16	1.33e-18
58698.38	17.75	0.02	1.41e-16	2.63e-18
58702.37	17.61	0.02	1.61e-16	2.22e-18
58722.38	18.08	0.00	1.04e-16	4.26e-19
58727.37	18.23	0.03	9.05e-17	2.30e-18
58732.37	18.18	0.02	9.49e-17	1.99e-18
58743.48	18.23	0.14	9.03e-17	1.13e-17
58747.34	18.26	0.03	8.80e-17	2.21e-18
58751.34	18.10	0.06	1.02e-16	5.95e-18
58757.34	18.24	0.03	9.00e-17	2.21e-18
58761.30	18.27	0.03	8.77e-17	2.06e-18
58765.30	18.22	0.06	9.11e-17	5.11e-18
58771.25	18.28	0.08	8.69e-17	6.27e-18
59186.21	18.34	0.10	8.22e-17	7.83e-18
59192.23	16.57	nan	4.20e-16	nan
59200.13	18.46	0.04	7.36e-17	3.00e-18
59219.15	18.26	0.04	8.84e-17	3.28e-18
59224.13	18.21	0.06	9.27e-17	5.40e-18
59379.45	18.44	0.03	7.46e-17	1.97e-18
59385.46	18.14	0.02	9.85e-17	2.13e-18
59399.45	18.42	0.10	7.59e-17	6.85e-18
59403.46	18.50	0.02	7.09e-17	1.31e-18
59407.41	18.70	0.10	5.87e-17	5.58e-18
59417.42	18.59	0.06	6.49e-17	3.67e-18
59425.35	18.45	0.05	7.39e-17	3.65e-18
59429.34	18.54	0.01	6.83e-17	9.15e-19
59434.41	18.57	0.02	6.63e-17	9.86e-19
59439.40	18.44	0.02	7.44e-17	1.47e-18
59447.25	18.43	0.16	7.51e-17	1.14e-17
59452.36	18.55	0.04	6.75e-17	2.24e-18
59455.30	18.60	0.03	6.45e-17	1.66e-18
59458.31	18.52	0.04	6.95e-17	2.73e-18
59461.34	18.57	0.02	6.64e-17	1.04e-18
59464.36	18.60	0.01	6.43e-17	8.61e-19
59467.33	18.61	0.02	6.41e-17	1.08e-18
59470.34	18.64	0.01	6.19e-17	6.33e-19
59473.41	18.56	0.04	6.66e-17	2.37e-18
59479.30	18.36	0.09	8.05e-17	6.71e-18
59484.30	18.39	0.01	7.79e-17	7.52e-19
59487.30	18.48	0.04	7.17e-17	2.71e-18
59494.30	18.51	0.06	7.01e-17	4.15e-18
59502.28	18.49	0.05	7.13e-17	3.10e-18
59509.30	18.60	0.05	6.44e-17	2.94e-18
59517.30	18.53	0.03	6.86e-17	1.79e-18
59520.32	18.50	0.03	7.08e-17	1.93e-18
59523.17	18.58	0.01	6.55e-17	6.48e-19
59526.27	18.49	0.03	7.16e-17	1.77e-18
59529.28	18.47	0.06	7.26e-17	3.71e-18
59538.14	18.36	0.03	8.03e-17	2.50e-18
