mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58320.46	11.24	nan	1.56e-13	nan
58323.44	19.05	0.05	1.17e-16	5.01e-18
58323.44	12.16	nan	6.67e-14	nan
58327.48	18.91	0.17	1.34e-16	2.12e-17
58327.48	11.74	nan	9.81e-14	nan
58330.46	19.07	0.15	1.15e-16	1.57e-17
58330.46	12.20	nan	6.44e-14	nan
58335.50	12.35	nan	5.59e-14	nan
58335.50	18.92	0.11	1.32e-16	1.29e-17
58338.44	18.91	0.04	1.33e-16	5.36e-18
58338.44	12.25	nan	6.13e-14	nan
58345.43	18.93	0.04	1.31e-16	4.68e-18
58345.43	12.19	nan	6.47e-14	nan
58345.43	12.18	nan	6.55e-14	nan
58347.48	12.33	nan	5.72e-14	nan
58347.48	18.97	0.02	1.27e-16	2.07e-18
58348.48	18.94	0.02	1.29e-16	1.98e-18
58348.48	12.34	nan	5.66e-14	nan
58348.48	18.87	0.02	1.39e-16	2.69e-18
58348.48	12.35	nan	5.62e-14	nan
58350.45	12.55	nan	4.67e-14	nan
58350.45	18.96	0.03	1.27e-16	3.53e-18
58351.45	12.34	nan	5.68e-14	nan
58351.45	18.96	0.02	1.27e-16	1.99e-18
58351.45	12.33	nan	5.69e-14	nan
58351.45	18.97	0.02	1.26e-16	1.91e-18
58352.46	12.33	nan	5.69e-14	nan
58352.46	18.93	0.02	1.31e-16	2.24e-18
58363.40	18.86	0.08	1.39e-16	1.01e-17
58363.40	12.35	nan	5.58e-14	nan
58363.41	12.33	nan	5.72e-14	nan
58363.41	18.95	0.08	1.28e-16	9.74e-18
58364.45	12.35	nan	5.61e-14	nan
58364.45	18.87	0.05	1.38e-16	6.56e-18
58364.48	12.37	nan	5.49e-14	nan
58364.48	18.92	0.05	1.32e-16	5.90e-18
58364.48	18.95	0.04	1.28e-16	5.27e-18
58365.44	12.41	nan	5.32e-14	nan
58365.44	18.97	0.03	1.26e-16	3.69e-18
58366.45	18.89	0.02	1.35e-16	2.27e-18
58366.45	12.42	nan	5.25e-14	nan
58366.45	18.95	0.02	1.29e-16	2.15e-18
58366.45	12.43	nan	5.21e-14	nan
58367.45	12.41	nan	5.30e-14	nan
58367.45	18.92	0.02	1.32e-16	2.63e-18
58368.41	12.40	nan	5.35e-14	nan
58368.41	18.90	0.02	1.35e-16	2.69e-18
58369.45	18.87	0.02	1.38e-16	2.67e-18
58369.45	12.44	nan	5.14e-14	nan
58369.48	12.45	nan	5.10e-14	nan
58369.48	18.84	0.02	1.42e-16	2.77e-18
58370.46	12.43	nan	5.22e-14	nan
58370.46	18.98	0.02	1.24e-16	2.76e-18
58371.39	12.45	nan	5.13e-14	nan
58371.39	18.95	0.02	1.29e-16	2.13e-18
58372.44	12.44	nan	5.14e-14	nan
58372.44	18.92	0.02	1.32e-16	2.18e-18
58372.44	12.45	nan	5.13e-14	nan
58372.44	18.91	0.02	1.33e-16	2.58e-18
58373.42	18.93	0.03	1.31e-16	3.07e-18
