# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.7 on 2023-12-13 at 10:47:50
#
# Requested input R.A. = 353.835 degrees
# Requested input Dec. = -1.51930556 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460291.70264629 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 446 11 1 ZTF_g 516465094015 0 2.8303 80.1071 15.6542 26.0589 4.87704e-05 0.0415555 -0.0266393 0.000107468 245 30. 0.085148 0.075728 18.9568 26.0589 1 2458270.9650926 446120140 -57.60315955171 91.155190 -0.702942 1.001433 80.02052813901 138.590988 0.581275 1.094634 0.115074892537744 18.6739999771118 0.0209999997168779 0.902999997138977 0.0219999998807907 2458282.920336 2458375.811366 0
 1 446 11 1 ZTF_g 528420334015 0 2.6618 67.014 5.2134 25.8672 2.15475e-05 0.0368297 -0.0545787 3.42426e-05 401 30. 0.0934 0.071199 20.0235 25.8672 1 2458282.9203356 446120140 11.02660780128 26.194109 0.468266 1.068534 -35.48869261341 42.204773 -0.846532 1.065242 0.115074892537744 18.6739999771118 0.0209999997168779 0.902999997138977 0.0219999998807907 2458282.920336 2458375.811366 0
 2 446 11 1 ZTF_r 528478554015 0 2.0588 151.418 10.2594 25.6915 2.082e-05 0.0369946 0.148726 3.04626e-05 427 30. 0.06307 0.05006 19.3464 25.6915 1 2458282.9785532 446120240 -88.41034454396 45.974274 -2.139159 0.994343 -215.83997634101 82.891640 -2.621418 1.061599 0.174504710538872 18.2420000076294 0.0149999996647239 0.416000008583069 -0.0130000002682209 2458282.978553 2458435.755671 0
 3 446 11 1 ZTF_g 531442984015 0 2.7221 93.3826 4.37635 26.2441 2.20826e-05 0.0378489 -0.0999014 3.26608e-05 425 30. 0.079799 0.066382 20.5442 26.2441 1 2458285.9429861 446120140 -29.96570682066 24.946846 -1.336176 1.013540 -11.79093537188 41.454754 -0.286345 1.051306 0.115074892537744 18.6739999771118 0.0209999997168779 0.902999997138977 0.0219999998807907 2458282.920336 2458375.811366 0
 4 446 11 1 ZTF_g 534422984015 0 3.7224 90.1494 5.28728 26.177 2.82052e-05 0.0411292 -0.04165 4.88686e-05 374 30. 0.08067 0.075177 20.0345 26.177 1 2458288.9229861 446120140 -8.29609160577 36.786427 -0.250865 1.163639 -27.23037585194 48.170174 -0.569103 1.146200 0.115074892537744 18.6739999771118 0.0209999997168779 0.902999997138977 0.0219999998807907 2458282.920336 2458375.811366 0
 5 446 11 1 ZTF_r 534462174015 0 3.0482 262.344 6.57812 26.3026 9.9106e-06 0.0257714 0.121595 1.46315e-05 433 30. 0.070375 0.061624 20.1308 26.3026 1 2458288.9621759 446120240 -135.8557714757 38.424255 -3.933032 1.102882 -128.62847680807 56.477486 -2.292857 1.101576 0.174504710538872 18.2420000076294 0.0149999996647239 0.416000008583069 -0.0130000002682209 2458282.978553 2458435.755671 0
 6 446 11 1 ZTF_g 537443724015 0 2.4675 95.5291 4.39406 26.2598 1.27679e-05 0.0291239 -0.0810058 1.87172e-05 430 30. 0.06537 0.062014 20.6591 26.2598 1 2458291.9437269 446120140 -24.89588819424 22.980698 -1.205089 1.055865 -78.78221028103 38.712463 -2.048767 1.065308 0.115074892537744 18.6739999771118 0.0209999997168779 0.902999997138977 0.0219999998807907 2458282.920336 2458375.811366 0
 7 446 11 1 ZTF_g 541446654015 0 2.3004 96.8214 11.425 26.2519 2.3159e-05 0.0364971 -0.0545013 4.14108e-05 363 30. 0.06293 0.05852 19.6619 26.2519 1 2458295.9466551 446120140 -12.56752238961 56.315689 -0.248242 0.954977 -66.29775878018 96.764313 -0.689761 1.072304 0.115074892537744 18.6739999771118 0.0209999997168779 0.902999997138977 0.0219999998807907 2458282.920336 2458375.811366 0
 8 446 11 1 ZTF_r 544441754015 0 2.8442 253.394 13.6785 26.2572 2.04177e-05 0.036339 0.137657 2.96866e-05 428 30. 0.067889 0.058892 19.3408 26.2572 1 2458298.9417593 446120240 -188.78372786807 74.199287 -2.830216 1.107662 -341.60066685477 111.338013 -3.088804 1.103818 0.174504710538872 18.2420000076294 0.0149999996647239 0.416000008583069 -0.0130000002682209 2458282.978553 2458435.755671 0
