# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.5 on 2023-10-31 at 16:05:35
#
# Requested input R.A. = 38.6626667 degrees
# Requested input Dec. = 1.1278056 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460247.91245234 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 452 3 3 ZTF_g 551465741015 0 3.0269 74.5242 10.6517 25.8757 6.92089e-05 0.0390739 -0.0311738 0.000133071 148 30. 0.104256 0.087059 19.1312 25.8757 1 2458305.9657407 452120110 53.30998358254 58.159950 1.019622 1.081167 40.107175863 88.907005 0.454152 1.063307 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 1 452 3 3 ZTF_r 560442231015 0 2.3464 107.077 5.94903 25.718 3.06122e-05 0.0314755 0.114886 4.44945e-05 228 30. 0.099778 0.075584 19.8811 25.718 1 2458314.9422338 452120210 -56.82558735948 27.952456 -2.261407 1.052275 -85.05458646654 49.692722 -1.723138 1.043175 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 2 452 3 3 ZTF_g 560477011015 0 2.1685 73.8568 5.21819 25.8354 4.27853e-05 0.0364987 -0.00572924 6.38749e-05 218 30. 0.083089 0.071387 20.2936 25.8354 1 2458314.9770139 452120110 -37.57212032904 23.788757 -1.756907 1.089680 0.0823255328 40.495815 0.002047 1.068448 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 3 452 3 3 ZTF_g 566463951015 33554432 1.7815 34.6941 5.0198 25.0051 0.000225598 0.0799377 -0.0216067 0.000380003 194 30. 0.062861 0.05998 19.5366 25.0051 1 2458320.9639583 452120110 -14.35309705726 21.434139 -0.744894 0.959103 -9.04554672239 40.979042 -0.222223 1.049760 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 4 452 3 3 ZTF_r 566485461015 0 1.9642 109.745 6.14159 25.7518 3.22474e-05 0.0326103 0.112297 4.58323e-05 235 30. 0.055422 0.052946 20.0522 25.7518 1 2458320.985463 452120210 66.40534609632 26.547678 2.782475 0.931974 13.55751336744 51.956600 0.262697 1.032676 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 5 452 3 3 ZTF_g 569442971015 0 2.2941 87.4694 4.73004 26.0462 3.06728e-05 0.0313702 -0.0347113 4.51872e-05 224 30. 0.078324 0.069797 20.5437 26.0462 1 2458323.9429745 452120110 -34.24807357455 22.724230 -1.676493 0.912249 -37.29582248972 38.717426 -0.969770 1.064789 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 6 452 3 3 ZTF_r 569485591015 0 1.8132 149.608 6.16723 26.092 1.65431e-05 0.0227127 0.10467 2.38995e-05 223 30. 0.054352 0.0526 20.4311 26.092 1 2458323.9855903 452120210 -26.55190510343 26.468615 -1.115885 0.922415 -42.42373867915 52.050423 -0.820540 1.038955 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 7 452 3 3 ZTF_r 573425681015 33554464 4.1269 35.5531 16.7409 24.4505 0.000259389 0.053406 0.0817422 0.000475245 79 30. 0.072537 0.092675 17.2207 24.4505 1 2458327.9256829 452120210 -14.86195542988 85.327354 -0.193750 0.987546 -70.1176436359 141.713943 -0.498115 1.048107 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 8 452 3 3 ZTF_g 573484871015 0 2.327 85.6725 16.3227 26.0803 5.36322e-05 0.0356392 -0.080537 0.000104096 151 30. 0.056412 0.059128 19.0823 26.0803 1 2458327.9848727 452120110 39.95896658634 78.863739 0.563627 0.924345 -90.69257826738 139.141296 -0.656192 1.046476 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 9 452 3 3 ZTF_r 576420551015 0 2.5785 130.303 15.1071 25.9331 7.39188e-05 0.0462684 0.122932 0.00010804 210 30. 0.078806 0.072707 18.9631 25.9331 1 2458330.9205556 452120210 -7.48954021662 80.507950 -0.103484 1.041412 71.50744524212 130.429260 0.551939 1.062261 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 10 452 3 3 ZTF_g 576484861015 0 1.9484 91.6163 13.8202 26.098 5.31188e-05 0.0372937 -0.0131554 9.33573e-05 169 30. 0.054611 0.055108 19.4594 26.098 1 2458330.9848611 452120110 -72.63813704058 69.758759 -1.158299 0.920850 -71.16928377903 124.020348 -0.577717 1.061596 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 11 452 3 3 ZTF_r 582473551015 0 1.9062 158.08 6.48094 26.1359 1.59281e-05 0.0222882 0.108029 2.30295e-05 225 30. 0.052834 0.051216 20.3517 26.1359 1 2458336.9735532 452120210 -37.73835246762 28.812977 -1.456967 0.990731 53.7217608498 54.926014 0.984662 1.043222 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
